Province_EN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
RATCHABURI,47846.069915,49795.653838,50390.691422,47063.256006,55084.844064,55238.144907,64302.154604999996,76730.40711999999,81188.12611000001,85069.942727,87108.15861999999,89052.188705,89134.653175,87494.748663,90290.66197999999,96782.862393,98388.058764,100727.552259,96347.66584700001,99876.660569,103392.35187299999,104525.541073,104485.74898,105795.465912
KANCHANABURI,44455.19713100001,47358.525968,44861.149766999995,39718.93311,43394.772425999996,39402.234930000006,37841.575129000004,42679.659727000006,44130.193689,43400.112443,43007.650351000004,45068.52052,50659.902503,49214.815745,50604.334439,48561.815244000005,53114.307363,56330.710084,57535.859056,57969.443741,58231.561538,58977.207336,60322.628735000006,67388.883884
PHACHUAP KHIRI KHAN,33145.224403,34400.486854,32287.541128,28149.40624,35712.090428,38672.278834000004,38013.7038,39683.259641000004,42016.000374999996,44564.473199,46741.276581000006,50481.194036,49980.221852,51816.145636,49247.12680499999,51585.978365,54791.66181600001,55169.020122999995,56389.367093,56414.03483700001,57405.335125000005,59529.990907,65276.197460999996,67563.11542599999
PHETCHABURI,21031.805864,22718.119141,23511.699801000002,24000.078297,29648.654691,31399.408262,29705.643295,30881.796957,31722.037226,34672.183936,35266.744688,36084.218588,37223.0216,36190.00511,35973.057707,38012.399242,37035.648758,41023.521852000005,39816.66882,38421.934054,38588.951672,39446.836749,42035.586207,43204.687917
SUPHAN BURI,29603.832803,34786.194893,33716.994886,33031.127324,34665.052743,35055.005787,34286.297609,35078.553633999996,39185.217798,39463.499822,38429.725726,39891.927177000005,41214.818009999995,42736.618274,42679.560902,39767.694024,45489.334298999995,48856.562515,47123.78378,46936.525444,49352.620526,46397.780813,48678.404082,51437.160565
SAMUT SONGKHRAM,10457.39866,11158.342251,10893.502843,9848.033413,9336.512803,10354.043724,11696.335297999998,9546.765262,10321.330700999999,11005.887996,12179.731712,13045.671819000001,12466.2162,12653.009354,12452.738076,11964.060737999998,12322.326045,11842.764591000001,11828.596480999999,12368.579421,12599.294792,12766.3393,14944.156713,15599.838248
SARABURI,79019.676135,85257.697833,82437.780199,71763.60165299999,70699.21291100001,71847.897358,75434.351668,88338.66447599999,95647.995503,105159.321452,114055.739624,117840.085856,119149.735708,122202.205822,131263.50281099998,137159.584817,135405.321377,148861.244034,146743.180188,149607.66525299998,151381.85732399998,156926.771586,154978.38217300002,156450.563223
SINGBURI,11491.113363,12189.386825,12113.474546,11742.291084,11367.808430000001,12508.699859,12368.548852,12759.597165,14274.555621,14635.330423000001,14946.884952,15263.355882,16210.535103,16156.323913,16882.868135,16518.170139,17031.48521,18084.445539,17453.250276,16383.152703,15498.451388,15544.779016999999,16180.976848,16913.146736
CHAI NAT,15775.082298,16464.20578,16246.224870000002,15399.886289999999,15365.124416,15879.030048,16534.093399,16668.757789,16788.641995,16194.181252,16477.291601999998,15615.936211,16105.927848,16921.117614000003,16291.630478000001,15382.923646000001,16669.356323,20484.778835999998,19877.889789,18477.241435,16715.543414,16723.069217,18862.706538,20234.58249
ANG THONG,11998.824129999999,13110.137238000001,13067.798030000002,12903.961960999999,12324.416317,12142.587464,12023.719404,12799.950512,13902.138506,14272.756977,14399.812870000002,14750.370747,14908.697431,15052.899241,14384.462402,13109.752193999999,14377.468105999998,17879.714431,16476.916478000003,16113.024666,15907.039080999999,16583.090057999998,18069.799981,18661.69029
LOP BURI,35432.641917,41611.68840499999,39840.914924000004,36513.818416999995,34976.503046,37648.786271000004,41194.857306,46761.244291999996,48382.385087,47038.293440999994,49424.550133,47495.23263,45507.259694,45640.381475,48883.7353,48335.828189,50884.549576,60441.014768999994,60197.479781,60244.162612,58634.278759,60154.518614,64200.439256000005,64469.257154000006
PHRA NAKHON SRI AYUTHAYA,122450.860019,143356.873659,147679.69945299998,136495.493564,147719.108886,167696.99907,171803.008928,177937.46676799998,198839.56924399998,212357.92343800003,206342.996486,223434.975588,254339.756245,320867.311696,277261.763918,314202.953917,266581.087744,270846.016477,329273.58406300005,286906.71795,321294.59922,310784.15263599996,311564.832358,313447.919251
BANGKOK METROPOLIS,1963318.817141,2018417.663218,1840460.750673,1665878.9127840002,1710515.955689,1832319.2148419998,1930391.715273,2004880.911811,2108505.5675460002,2256393.001661,2371938.198126,2441511.314894,2500810.5597699997,2505583.299073,2469889.121076,2596147.418743,2712600.126457,2889750.596186,3075227.170973,3190719.0487410002,3335729.8531580004,3482640.1608100003,3632147.689886,3821332.81097
SAMUT PRAKAN,242041.687271,250846.868836,246029.38355099998,267054.235323,292347.201451,307865.581489,328257.422386,355400.659167,358539.25214500003,373446.41195700003,382409.545501,408666.695469,512083.56756600004,503339.965009,454572.014502,561491.228597,500986.41256,578342.891929,540822.813509,536442.243339,548302.863118,551423.133484,570510.8750240001,617235.690428
PATHUM THANI,205674.085081,212632.128374,210379.56164399997,150525.007204,177494.50834,172482.69547,177808.07324099998,160243.973651,173276.862804,193459.92619499998,196296.473678,212796.502398,214874.42766800002,237399.82048800003,256504.930681,289071.393568,243688.318559,234180.579831,239811.096889,243974.029897,252383.299562,254381.880005,279287.28665799997,287892.119355
SAMUT SAKHON,144901.49190599998,148100.073658,151566.448081,126142.73120899999,128834.514399,140872.480491,151378.43044,163691.608906,190600.517283,203760.618766,204249.653995,215940.40885100001,226989.759418,234394.180744,236151.78502,262941.321291,256517.398854,258462.202285,253837.11007899998,260845.279762,258415.196647,263529.886718,276803.965551,285663.26623
NAKHON PATHOM,99841.39502299999,101557.149964,101439.581582,87504.599208,92440.357519,96872.625171,99886.946763,102260.40371700001,114586.245924,119618.68491200001,126023.656903,136008.49157,127396.949701,125746.030133,123598.082054,136375.772081,149684.574303,172582.855761,187974.548934,198660.369507,210920.578678,217841.62283799998,224047.071608,230401.059238
NONTHABURI,73893.468803,74369.96929200001,72867.125571,75780.251281,73110.700886,75593.472481,79500.24496,84585.61905,90235.29893500001,97968.218578,110042.003675,120027.60414,127032.33464700001,130683.675053,137612.237901,147426.966957,143442.880936,157467.227622,171413.617925,190418.71709000002,202125.827373,211047.56963699998,226894.768359,229721.760821
